'2019-08-20 16:11:17.140000', 113', '327', 'None'
'2019-08-20 16:11:17.147000', 99', '317', 'None'
'2019-08-20 16:11:17.154000', 82', '301', 'None'
'2019-08-20 16:11:17.162000', 58', '273', 'None'
'2019-08-20 16:11:17.169000', 47', '256', 'None'
'2019-08-20 16:11:17.176000', 37', '243', 'None'
'2019-08-20 16:11:17.183000', 28', '227', 'None'
'2019-08-20 16:11:17.190000', 25', '223', 'None'
'2019-08-20 16:11:17.198000', 23', '220', 'None'
'2019-08-20 16:11:17.205000', 22', '217', 'None'
'2019-08-20 16:11:17.520000', 10', '215', 'None'
'2019-08-20 16:11:19.413000', 11', '102', 'product.k'
'2019-08-20 16:11:19.421000', 26', '104', 'product.k'
'2019-08-20 16:11:19.427000', 43', '107', 'product.k'
'2019-08-20 16:11:19.433000', 69', '110', 'product.k'
'2019-08-20 16:11:19.441000', 89', '115', 'product.k'
'2019-08-20 16:11:19.448000', 108', '118', 'product.k'
'2019-08-20 16:11:19.455000', 124', '119', 'product.k'
'2019-08-20 16:11:19.463000', 143', '122', 'product.k'
'2019-08-20 16:11:19.470000', 162', '125', 'product.k'
'2019-08-20 16:11:19.477000', 178', '129', 'product.k'
'2019-08-20 16:11:19.485000', 190', '133', 'product.k'
'2019-08-20 16:11:19.492000', 205', '138', 'product.k'
'2019-08-20 16:11:19.499000', 220', '145', 'product.k'
'2019-08-20 16:11:19.507000', 234', '150', 'product.k'
'2019-08-20 16:11:19.515000', 247', '157', 'product.k'
'2019-08-20 16:11:19.521000', 254', '162', 'product.k'
'2019-08-20 16:11:19.529000', 258', '165', 'product.k'
'2019-08-20 16:11:19.535000', 263', '170', 'product.k'
'2019-08-20 16:11:19.543000', 266', '173', 'product.k'
'2019-08-20 16:11:19.550000', 268', '174', 'product.k'
'2019-08-20 16:11:19.557000', 269', '176', 'product.k'
'2019-08-20 16:11:19.565000', 272', '179', 'product.k'
'2019-08-20 16:11:19.572000', 273', '180', 'product.k'
'2019-08-20 16:11:19.579000', 274', '181', 'product.k'
'2019-08-20 16:11:19.586000', 274', '182', 'product.k'
'2019-08-20 16:11:19.594000', 276', '184', 'product.k'
'2019-08-20 16:11:19.602000', 278', '186', 'product.k'
'2019-08-20 16:11:19.609000', 281', '188', 'product.k'
'2019-08-20 16:11:19.616000', 283', '190', 'product.k'
'2019-08-20 16:11:19.623000', 284', '192', 'product.k'
'2019-08-20 16:11:19.630000', 286', '195', 'product.k'
'2019-08-20 16:11:19.637000', 291', '201', 'product.k'
'2019-08-20 16:11:19.645000', 294', '209', 'product.k'
'2019-08-20 16:11:19.652000', 298', '216', 'product.k'
'2019-08-20 16:11:19.659000', 302', '224', 'product.k'
'2019-08-20 16:11:19.667000', 305', '229', 'product.k'
'2019-08-20 16:11:19.674000', 307', '235', 'product.k'
'2019-08-20 16:11:19.681000', 310', '239', 'product.k'
'2019-08-20 16:11:19.689000', 312', '245', 'product.k'
'2019-08-20 16:11:19.696000', 313', '249', 'product.k'
'2019-08-20 16:11:19.703000', 315', '253', 'product.k'
'2019-08-20 16:11:19.710000', 316', '258', 'product.k'
'2019-08-20 16:11:19.718000', 317', '264', 'product.k'
'2019-08-20 16:11:19.725000', 318', '271', 'product.k'
'2019-08-20 16:11:19.732000', 318', '274', 'product.k'
'2019-08-20 16:11:19.739000', 319', '281', 'product.k'
'2019-08-20 16:11:19.747000', 319', '285', 'product.k'
'2019-08-20 16:11:19.754000', 319', '290', 'product.k'
'2019-08-20 16:11:19.761000', 319', '293', 'product.k'
'2019-08-20 16:11:19.768000', 319', '298', 'product.k'
'2019-08-20 16:11:19.776000', 319', '302', 'product.k'
'2019-08-20 16:11:19.783000', 319', '308', 'product.k'
'2019-08-20 16:11:19.790000', 319', '312', 'product.k'
'2019-08-20 16:11:19.798000', 320', '317', 'product.k'
'2019-08-20 16:11:19.805000', 320', '321', 'product.k'
'2019-08-20 16:11:19.812000', 321', '324', 'product.k'
'2019-08-20 16:11:19.819000', 321', '328', 'product.k'
'2019-08-20 16:11:19.826000', 321', '329', 'product.k'
'2019-08-20 16:11:19.834000', 321', '331', 'product.k'
'2019-08-20 16:11:19.841000', 321', '332', 'product.k'
'2019-08-20 16:11:19.848000', 321', '335', 'product.k'
'2019-08-20 16:11:19.856000', 321', '337', 'product.k'
'2019-08-20 16:11:19.864000', 321', '338', 'product.k'
'2019-08-20 16:11:19.870000', 321', '339', 'product.k'
'2019-08-20 16:11:19.878000', 321', '340', 'product.k'
'2019-08-20 16:11:19.893000', 321', '342', 'product.k'
'2019-08-20 16:11:19.899000', 321', '343', 'product.k'
'2019-08-20 16:11:19.914000', 321', '344', 'product.k'
'2019-08-20 16:11:19.921000', 321', '345', 'product.k'
'2019-08-20 16:11:19.981000', 320', '345', 'product.k'
'2019-08-20 16:11:19.988000', 319', '345', 'product.k'
'2019-08-20 16:11:19.995000', 318', '345', 'product.k'
'2019-08-20 16:11:20.001000', 315', '345', 'product.k'
'2019-08-20 16:11:20.009000', 313', '345', 'product.k'
'2019-08-20 16:11:20.016000', 312', '344', 'product.k'
'2019-08-20 16:11:20.024000', 310', '343', 'product.k'
'2019-08-20 16:11:20.031000', 306', '340', 'product.k'
'2019-08-20 16:11:20.039000', 303', '338', 'product.k'
'2019-08-20 16:11:20.045000', 300', '335', 'product.k'
'2019-08-20 16:11:20.052000', 296', '332', 'product.k'
'2019-08-20 16:11:20.060000', 293', '327', 'product.k'
'2019-08-20 16:11:20.067000', 290', '325', 'product.k'
'2019-08-20 16:11:20.075000', 285', '321', 'product.k'
'2019-08-20 16:11:20.082000', 283', '317', 'product.k'
'2019-08-20 16:11:20.089000', 280', '314', 'product.k'
'2019-08-20 16:11:20.097000', 278', '311', 'product.k'
'2019-08-20 16:11:20.104000', 273', '307', 'product.k'
'2019-08-20 16:11:20.111000', 270', '304', 'product.k'
'2019-08-20 16:11:20.118000', 267', '301', 'product.k'
'2019-08-20 16:11:20.126000', 262', '295', 'product.k'
'2019-08-20 16:11:20.133000', 259', '289', 'product.k'
'2019-08-20 16:11:20.140000', 256', '282', 'product.k'
'2019-08-20 16:11:20.148000', 254', '275', 'product.k'
'2019-08-20 16:11:20.154000', 251', '269', 'product.k'
'2019-08-20 16:11:20.162000', 248', '263', 'product.k'
'2019-08-20 16:11:20.169000', 247', '259', 'product.k'
'2019-08-20 16:11:20.176000', 246', '257', 'product.k'
'2019-08-20 16:11:20.184000', 245', '253', 'product.k'
'2019-08-20 16:11:20.191000', 245', '249', 'product.k'
'2019-08-20 16:11:20.198000', 243', '244', 'product.k'
'2019-08-20 16:11:20.206000', 241', '236', 'product.k'
'2019-08-20 16:11:20.212000', 240', '226', 'product.k'
'2019-08-20 16:11:20.220000', 240', '216', 'product.k'
'2019-08-20 16:11:20.227000', 240', '208', 'product.k'
'2019-08-20 16:11:20.235000', 240', '199', 'product.k'
'2019-08-20 16:11:20.242000', 239', '191', 'product.k'
'2019-08-20 16:11:20.249000', 239', '184', 'product.k'
'2019-08-20 16:11:20.257000', 237', '172', 'product.k'
'2019-08-20 16:11:20.263000', 236', '159', 'product.k'
'2019-08-20 16:11:20.271000', 233', '147', 'product.k'
'2019-08-20 16:11:20.278000', 231', '136', 'product.k'
'2019-08-20 16:11:20.286000', 227', '128', 'product.k'
'2019-08-20 16:11:20.293000', 225', '122', 'product.k'
'2019-08-20 16:11:20.300000', 222', '116', 'product.k'
'2019-08-20 16:11:20.307000', 220', '111', 'product.k'
